name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,owner,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,commisioning_year,State,Counties
Flat Ridge Wind Farm,USA0056819,50.0,37.3692,-98.4603,Wind,2009.0,Westar Energy Inc,127.869,131.894,146.968,145.28799999999998,149.63299999999998,2009,Kansas,Barber County
Wynoochee,USA0007127,12.8,47.3851,-123.6052,Hydro,1994.0,City of Tacoma - (WA),24.404,14.272,12.68,37.209,34.103,1994,Washington,Grays Harbor County
Ivy River Hydro,USA0050890,1.2,35.7716,-82.6183,Hydro,1985.0,Madison Hydro Partners,0.0,0.0,0.0,0.0,0.0,1985,North Carolina,Madison County
Terry Bundy Generating Station,USA0007887,216.3,40.9097,-96.6131,Gas,2003.662506,Lincoln Electric System,78.421,68.57,0.0,0.0,148.814,2003,Nebraska,Lancaster County
Spearville,USA0056351,148.5,37.8641,-99.7528,Wind,2007.616162,Kansas City Power & Light Co,490.566,476.587,461.099,408.55699999999996,310.296,2007,Kansas,Hodgeman County
Mid-Georgia Cogeneration Facility,USA0055040,323.0,32.4856,-83.6039,Gas,1997.670279,SEPG Operating Services  LLC MGC,0.0,197.04799599999998,241.772004,481.60400300000003,144.94299999999998,1997,Georgia,Houston County
Jesup Plant,USA0010560,69.5,31.6593,-81.8439,Biomass,1972.539568,Rayonier Advanced Materials,502.708003,372.638601,464.22631900000005,479.17529299999995,456.51989800000007,1972,Georgia,Wayne County
GL Wind,USA0057813,5.0,43.9917,-91.8778,Wind,2012.0,GL Wind LLC,11.825999999999999,12.794,12.345999999999998,11.648,9.041,2012,Minnesota,Winona County
Anheuser-Busch Jacksonville,USA0010431,8.6,30.4342,-81.6454,Gas,1987.0,Anheuser-Busch Inc,0.0,0.0,0.0,0.0,73.15111999999999,1987,Florida,Duval County
Lost Lakes Wind Farm LLC,USA0057111,100.0,43.3456,-95.3233,Wind,2010.0,Lost Lakes Wind Farm LLC,345.3,368.215,342.66900000000004,345.51599999999996,341.25,2010,Iowa,Dickinson County
Buxton,USA0002783,15.0,35.2672,-75.5347,Oil,1991.0,North Carolina El Member Corp,0.149,0.526,1.169,-0.006,1.1740000000000002,1991,North Carolina,Dare County
Texas City Plant Union Carbide,USA0050153,45.0,29.3761,-94.9465,Other,1996.0,Union Carbide Corp-Texas City,0.0,0.0,0.0,0.0,81.37,1996,Texas,Galveston County
Waddell,USA0007164,40.0,33.8447,-112.2714,Hydro,1993.0,Central Arizona Water Conservation Dist,38.503,31.046999999999997,43.431999999999995,42.832,-40.193000000000005,1993,Arizona,Maricopa County
Jersey Gardens Phase 2,USA0058654,2.3,40.6608,-74.1733,Solar,2012.0,CF Jersey Gardens Owner Two LLC,3.241,3.077,3.2,3.404,3.09,2012,New Jersey,Union County
City West Diesel Plant,USA0057886,7.2,34.7225,-81.6469,Oil,2011.0,Lockhart Power Co,0.33799999999999997,0.44393999999999995,0.368,0.011000000000000001,0.055,2011,South Carolina,Union County
Georgia LFG Richland Creek Plant,USA0061387,11.0,34.1271,-84.0334,Waste,2016.0,Cube District Energy  LLC,0.0,0.0,0.0,20.802,68.149,2016,Georgia,Gwinnett County
Moore Solar Farm,USA0058337,5.0,36.2732,-79.7592,Solar,2014.0,Moore Solar Farm LLC,0.308,8.115,8.424,9.116,8.693,2014,North Carolina,Rockingham County
Monticello,USA0006147,1980.0,33.0917,-95.0417,Coal,1983.311818,Luminant Generation Company LLC,8008.118942,6537.427014,4778.868992000001,7527.985005,9037.820979,1983,Texas,Titus County
Front Range Project,USA0059143,3.2,40.0294,-105.0047,Waste,2011.0,Timberline Energy LLC,24.326999999999998,23.529,22.063000000000002,23.785999999999998,22.01,2011,Colorado,Boulder County
Waste Management Piedmont LFGTE Project,USA0057169,2.4,36.1936,-80.0406,Waste,2011.0,WM Renewable Energy LLC,17.721,17.083,15.647,14.494000000000002,14.970999999999998,2011,North Carolina,Guilford County
North,USA0007856,8.0,41.3164,-94.455,Oil,2006.95,City of Greenfield - (IA),0.10099999999999999,0.018000000000000002,0.04,0.106,0.16,2006,Iowa,Adair County
Reusens,USA0003779,12.5,37.4639,-79.1856,Hydro,1903.0,Appalachian Power Co,0.0,0.0,0.0,0.0,2.5980000000000003,1903,Virginia,City of Lynchburg
Selmer II,USA0060556,8.0,35.1661,-88.6467,Solar,2017.0,Selmer North Solar II  LLC,0.0,0.0,0.0,0.0,8.229,2017,Tennessee,McNairy County
Hopewell Cogeneration,USA0010633,399.0,37.2917,-77.2811,Gas,1990.0,GDF Suez NA - Hopewell,816.600007,1017.1729960000001,1471.643964,1200.107993,1105.134002,1990,Virginia,City of Hopewell
Glen Park Hydroelectric Project,USA0050512,32.6,44.0006,-75.9612,Hydro,1999.0,Black River Hydroelectric  LLC,156.33700000000002,154.27,106.931,125.559,187.75099999999998,1999,New York,Jefferson County
Littlefield Solar Center LLC,USA0058809,5.0,35.4339,-77.4381,Solar,2016.0,SRE Utility Solar 1  LLC,0.0,0.0,0.006,9.425,9.669,2016,North Carolina,Pitt County
Spartanburg Water System,USA0054675,4.3,35.1103,-81.9675,Oil,1992.0,Spartanburg Commissioners PW,4.016,2.931,2.485,1.9509999999999998,1.4069999999999998,1992,South Carolina,Spartanburg County
Woodridge Greene Valley Treatment Plant,USA0054987,1.5,41.74,-88.06,Gas,1996.0,DuPage County,0.6459999999999999,0.248,0.08800000000000001,0.024,0.006,1996,Illinois,DuPage County
Bellevue Solar Project,USA0057372,1.6,45.1122,-123.2347,Solar,2011.0,EDF Renewable Asset Holdings  Inc.,1.837,1.6980000000000002,1.8869999999999998,1.722,1.6969999999999998,2011,Oregon,Yamhill County
Bunge Oil,USA0052034,3.5,41.1546,-87.8548,Gas,1990.0,CSL Behring LLC,0.0,19.877,25.535999999999998,24.892,10.409,1990,Illinois,Kankakee County
Swauk Wind LLC,USA0058441,4.3,47.1392,-120.7531,Wind,2013.0,Gamesa Wind US LLC,10.879000000000001,11.215,11.369000000000002,11.177999999999999,9.505,2013,Washington,Kittitas County
Citrus Solar Energy Center,USA0060061,74.5,27.3209,-81.8069,Solar,2017.0,Florida Power & Light Co,0.0,0.0,0.0,0.0,165.02900000000002,2017,Florida,DeSoto County
Box Canyon Dam,USA0050179,5.0,41.2792,-122.3292,Hydro,1986.0,Siskiyou Power Authority,10.838,8.187999999999999,9.815,23.912,25.294,1986,California,Siskiyou County
Valdez,USA0006306,8.2,61.1303,-146.3647,Oil,1974.536585,Copper Valley Elec Assn  Inc,5.075,2.0069999999999997,2.233,5.05,1.383,1974,Alaska,Valdez-Cordova Census Area
Ponderosa Bailey Creek,USA0010709,1.1,40.4579,-121.8427,Hydro,1990.0,Snow Mountain Hydro LLC,0.799,0.632,0.318,3.515,5.273,1990,California,Shasta County
Doswell Energy Center,USA0052019,939.0,37.8208,-77.4462,Gas,1993.662407,Doswell Ltd Partnership,3251.947006,3772.0090630000004,4728.978428,4516.947978,4086.452761,1993,Virginia,Hanover County
Wasson CO2 Removal Plant,USA0052122,23.4,33.0099,-102.7569,Gas,1988.0,Occidental Permian Ltd,122.742,156.96,161.1,156.13,150.33100000000002,1988,Texas,Yoakum County
Laurinburg Solar,USA0059833,5.0,34.7565,-79.4302,Solar,2015.0,TWE Laurinburg Solar,0.0,0.0,1.804,9.442,9.818999999999999,2015,North Carolina,Scotland County
Sturgeon,USA0002486,14.4,41.8482,-74.0467,Hydro,1924.0,Central Hudson Gas & Elec Corp,38.412,27.549,37.514,32.143,34.202,1924,New York,Ulster County
Pilot Hill Wind Farm,USA0058898,175.0,40.9992,-88.0562,Wind,2015.0,EDF Renewable Asset Holdings  Inc.,0.0,0.0,234.347,573.434,625.474,2015,Illinois,Kankakee County
Watson Seed Farm PV1,USA0059153,20.0,36.1297,-77.7214,Solar,2016.0,Ecoplexus  Inc,0.0,0.0,0.0,33.551,34.499,2016,North Carolina,Halifax County
Chestnut Ridge Gas Recovery,USA0050570,4.8,36.1172,-84.0317,Waste,1998.3333329999998,WM Renewable Energy LLC,31.663,33.641,31.521,33.938,30.881999999999998,1998,Tennessee,Anderson County
Chisago Solar,USA0060522,6.5,45.4525,-92.902,Solar,2017.0,Enel Green Power NA  Inc.,0.0,0.0,0.0,0.0,10.65,2017,Minnesota,Chisago County
Tart Farm,USA0059583,5.0,35.2044,-78.6811,Solar,2016.0,Tart Farm  LLC,0.0,0.0,0.0,5.46,9.373,2016,North Carolina,Harnett County
La Senita,USA0057556,1.0,35.2417,-114.0046,Solar,2011.0,UNS Electric  Inc,1.3869999999999998,1.68,2.097,2.511,2.167,2011,Arizona,Mohave County
Arpin Dam,USA0003995,1.4,45.7517,-91.2028,Hydro,1971.285714,Renewable World Energies LLC,7.3839999999999995,8.129,6.117999999999999,7.358,8.204,1971,Wisconsin,Sawyer County
Demille Solar Farm,USA0060346,28.4,43.04,-83.3332,Solar,2017.0,DTE Electric Company,0.0,0.0,0.0,0.0,25.128,2017,Michigan,Lapeer County
San Dimas Wash Generating Station,USA0050233,1.0,34.1242,-117.8051,Hydro,1986.0,San Gabriel Valley Mun Wtr Dt,0.0,0.0,0.0,1.495,0.377,1986,California,Los Angeles County
Uwharrie Mountain Renewable,USA0058526,9.6,35.333,-79.9649,Waste,2014.0,Uwharrie Mountain Renewable Energy  LLC,0.0,28.073,68.813,62.803000000000004,65.76100000000001,2014,North Carolina,Montgomery County
Shoshone Falls,USA0000818,11.5,42.5975,-114.4033,Hydro,1921.0,Idaho Power Co,64.995,42.928999999999995,74.608,54.751999999999995,93.46,1921,Idaho,Twin Falls County
Lake Catherine,USA0000170,552.5,34.4341,-92.9049,Gas,1970.0,Entergy Arkansas Inc,477.839,90.65299999999999,159.628,332.156,93.59,1970,Arkansas,Hot Spring County
Arzon Solar UASTP Solar Power Station,USA0057930,1.9,32.1081,-110.8247,Solar,2011.0,FRB Solar LLC,3.0180000000000002,1.913,1.0090000000000001,1.036,0.075,2011,Arizona,Pima County
Cassia Wind,USA0056934,10.5,42.8444,-115.0369,Wind,2009.0,Cassia Wind Farm  LLC,24.826999999999998,26.647,20.561999999999998,24.506,22.11,2009,Idaho,Elmore County
Columbia Energy Center,USA0055447,162.8,39.0192,-92.2629,Gas,2001.0,City of Columbia - (MO),29.017,6.487,11.005,2.7289999999999996,8.107999999999999,2001,Missouri,Boone County
Hecate Energy Beacon Solar 1,USA0059315,56.0,35.2694,-118.0144,Solar,2017.0,Sustainable Power Group  LLC,0.0,0.0,0.0,0.0,101.652,2017,California,Kern County
Solar Photovoltaic Project #28,USA0057247,3.5,34.0942,-117.2742,Solar,2015.0,Southern California Edison Co,0.0,0.0,6.443,5.542999999999999,4.881,2015,California,San Bernardino County
Colfax,USA0001725,13.5,42.6587,-84.0952,Oil,1969.4,DTE Electric Company,-0.19899999999999998,0.071,-0.191,0.575,-0.141,1969,Michigan,Livingston County
Foothills Solar Plant,USA0057997,35.0,32.6486,-114.4287,Solar,2013.5142859999999,Arizona Public Service Co,61.1,80.654,110.82,96.915,95.588,2013,Arizona,Yuma County
BWC Swan Pond River,USA0060067,1.6,41.7956,-71.2266,Solar,2016.0,BWC Swan Pond River  LLC,0.0,0.0,0.028999999999999998,3.194,2.8080000000000003,2016,Massachusetts,Bristol County
Cedar Valley Solar Plant,USA0058599,3.0,37.8078,-113.09,Solar,2016.0,First Wind O&M  LLC,0.0,0.0,0.048,3.1310000000000002,5.684,2016,Utah,Iron County
Spencer Hydro,USA0002278,2.4,42.8093,-98.6563,Hydro,1943.6666670000002,Nebraska Public Power District,10.08,12.645999999999999,12.218,11.523,11.015,1943,Nebraska,Boyd County
Clarence Cannon,USA0006140,58.0,39.5248,-91.64399999999999,Hydro,1984.0,USCE-St Louis District,131.45600000000002,84.772,119.387,85.0,57.31399999999999,1984,Missouri,Marion County
Brown Station Road Plant I,USA0050060,2.7,38.8249,-76.7731,Waste,1987.0,Prince George's County,6.39156,3.1066,0.39494,0.0,1.08094,1987,Maryland,Prince George's County
Wildcat Wind,USA0057887,27.3,32.9528,-103.2853,Wind,2012.0,Wildcat Wind  LLC,92.081,94.86399999999999,85.67,92.061,93.90299999999999,2012,New Mexico,Lea County
Golden Fields Solar I  LLC,USA0060590,54.0,34.839,-118.3868,Solar,2017.0,Golden Fields Solar I  LLC,0.0,0.0,0.0,14.88674,150.342,2017,California,Los Angeles County
Archer Daniels Midland Des Moines,USA0010861,7.9,41.6244,-93.5845,Coal,1988.0,Archer Daniels Midland Co,0.0,0.0,0.0,0.0,26.633000000000003,1988,Iowa,Polk County
Taylor,USA0056870,8.0,32.4522,-84.3872,Waste,2007.5,Energy Developments Inc,45.198,41.533,48.511,41.975,39.364000000000004,2007,Georgia,Taylor County
Rio Bravo Solar 1 LLC,USA0059249,20.0,35.4161,-119.6825,Solar,2017.0,Rio Bravo Solar I  LLC,0.0,0.0,0.0,0.701,53.792,2017,California,Kern County
Tihonet Solar,USA0058749,1.0,41.7875,-70.7233,Solar,2014.0,Consolidated Edison Solutions Inc,0.0,0.0,1.7701200000000001,1.796,1.712,2014,Massachusetts,Plymouth County
Clinton Power Station,USA0000204,1138.3,40.1719,-88.8339,Nuclear,1987.0,Exelon Nuclear,8195.548,9071.711,8663.837,8914.453000000001,8348.336,1987,Illinois,De Witt County
Chambersburg,USA0055654,87.6,39.8669,-77.6858,Gas,2001.0,Chambersburg Energy  LLC,0.0,0.0,0.0,0.0,165.157,2001,Pennsylvania,Franklin County
Merom,USA0006213,1080.0,39.0694,-87.5108,Coal,1982.5,Hoosier Energy R E C  Inc,5955.053968,6444.869045,5178.427991,6075.510974,4909.6619869999995,1982,Indiana,Sullivan County
Rothschild Biomass Cogen Facility,USA0058124,57.5,44.8878,-89.6297,Waste,2013.0,Wisconsin Electric Power Co,9.67,66.586,53.601000000000006,103.075005,107.974999,2013,Wisconsin,Marathon County
San Emidio,USA0057456,11.8,40.3806,-119.3997,Geothermal,2012.0,USG Nevada LLC,76.626,76.89399999999999,79.538,75.04899999999999,66.59100000000001,2012,Nevada,Lyon County
Rocky River (SC),USA0003305,3.9,34.2572,-82.6097,Hydro,1965.0,City of Abbeville - (SC),7.76,6.603,6.647,5.405,2.7680000000000002,1965,South Carolina,Abbeville County
RE Kansas Solar  LLC,USA0058985,20.0,36.2478,-119.8339,Solar,2015.0,Dominion Renewable Energy,0.0,1.8769999999999998,49.983999999999995,53.739,53.386,2015,California,Kings County
Cogeneration 2,USA0059233,6.0,32.2408,-110.9483,Gas,2002.0,University of Arizona,33.301,34.038270000000004,34.3671,36.81635,36.49528,2002,Arizona,Pima County
Ridgetop,USA0054931,46.8,35.074,-118.3153,Wind,1994.0,Terra-Gen Operating Co LLC,132.885,144.769,132.125,151.96200000000002,144.091,1994,California,Kern County
Danville Westover Plant,USA0056365,1.8,36.6114,-79.4631,Oil,2005.0,City of Danville - (VA),0.0,0.0,0.0,0.0,0.075,2005,Virginia,City of Danville
Allegheny Energy Units 3 4 & 5,USA0055710,556.0,40.5453,-79.7686,Gas,2003.0,Springdale Energy LLC,3493.134,0.0,0.0,0.0,3820.013,2003,Pennsylvania,Westmoreland County
Doyle Energy Facility,USA0055244,409.0,33.8377,-83.6996,Gas,2000.0,Oglethorpe Power Corporation,9.698,11.054,36.842,133.232,33.939,2000,Georgia,Walton County
Sherburne County,USA0006090,2469.3,45.3808,-93.8931,Coal,1980.491556,Northern States Power Co - Minnesota,8804.711016,13324.30525,12160.14995,11767.029629999999,11888.100859999999,1980,Minnesota,Sherburne County
Olsen,USA0050180,5.0,40.6705,-121.8906,Hydro,1990.0,Olsen Power Partners,4.961,3.8810000000000002,1.314,12.003,2.541,1990,California,Shasta County
Innovative Solar 65,USA0060398,4.9,34.7587,-79.5,Solar,2016.0,Innovative Solar 65  LLC,0.0,0.0,0.0,0.084,8.122,2016,North Carolina,Scotland County
Oregon State University Energy Center,USA0057653,6.5,44.5643,-123.2891,Gas,2010.0,Oregon State University,45.318999999999996,41.501999999999995,41.946000000000005,0.0,40.312,2010,Oregon,Benton County
Grand Haven Diesel Plant,USA0001826,7.0,43.0598,-86.2379,Gas,1974.0,City of Grand Haven - (MI),0.042,-0.076,0.0,0.025,0.08900000000000001,1974,Michigan,Ottawa County
Skidmore College,USA0060425,2.0,43.0937,-73.8113,Solar,2014.0,WGL Energy Systems  Inc,0.0,0.0,2.195,2.7760000000000002,2.5,2014,New York,Saratoga County
West 14th Street,USA0001332,11.0,37.2354,-97.01100000000001,Gas,1962.0,City of Winfield - (KS),0.045,0.247,0.353,0.005,0.354,1962,Kansas,Cowley County
Alamo Solar,USA0059469,20.0,34.6822,-117.3475,Solar,2015.0,Dominion Renewable Energy,0.0,0.0,34.449,52.591,51.001999999999995,2015,California,San Bernardino County
GSE NM1,USA0058576,2.3,33.3,-104.4,Solar,2011.0,Green States Energy  Inc.,0.0,5.2620000000000005,4.236000000000001,5.144,5.071000000000001,2011,New Mexico,Chaves County
Zotos International WPGF,USA0057648,3.4,42.8869,-76.9683,Wind,2012.0,Zotos International,3.6710000000000003,2.46015,2.489,1.67,1.23349,2012,New York,Ontario County
Jackson Square,USA0002134,36.0,39.0946,-94.4115,Oil,1969.0,City of Independence - (MO),0.1,0.078,0.068,0.261,0.24,1969,Missouri,Jackson County
Spring Mill Solar RES,USA0059987,1.1,38.7095,-86.4697,Solar,2017.0,Hoosier Energy R E C  Inc,0.0,0.0,0.0,0.0,0.439,2017,Indiana,Lawrence County
Norwood,USA0002591,2.0,44.7439,-75.0042,Hydro,1928.0,Erie Boulevard Hydropower LP,15.345,13.555,13.001,12.056,14.335,1928,New York,St. Lawrence County
State Farm Support Center East,USA0055274,10.8,34.086,-84.245,Oil,1998.0,State Farm Mutual Auto Ins Co,0.14400000000000002,0.163,0.0,0.0,0.0,1998,Georgia,Fulton County
Battle Creek Mill,USA0058052,4.0,42.3221,-85.2043,Gas,1976.0,RockTenn-Battle Creek Mill,0.0,2.915,0.0,0.0,5.006,1976,Michigan,Calhoun County
Fort Gibson,USA0003003,44.8,35.8693,-95.2269,Hydro,1953.0,USCE-Tulsa District,223.092,126.709,233.952,222.111,180.382,1953,Oklahoma,Muskogee County
White Pine Solar  LLC,USA0060064,101.2,32.506,-84.257,Solar,2016.0,White Pine Solar  LLC,0.0,0.0,0.0,74.74,206.488,2016,Georgia,Taylor County
Arba Solar  LLC,USA0058801,2.0,35.3964,-77.7036,Solar,2014.0,Argand Energy Solutions  LLC,0.0,1.859,3.339,3.167,2.971,2014,North Carolina,Greene County
University Park South,USA0055250,353.4,41.4409,-87.7532,Gas,2001.0,University Park Energy LLC,80.509,60.478,109.18,207.43400000000003,141.965,2001,Illinois,Will County
45 Mile Hydroelectric Project,USA0058455,3.0,44.5281,-121.1528,Hydro,2015.0,EBD Hydro LLC,0.0,0.0,5.561,7.332000000000001,6.349,2015,Oregon,Jefferson County
Battleground,USA0059038,3.5,35.22,-81.33,Solar,2014.0,Sustainable Power Group  LLC,0.23561999999999997,6.277,5.006,6.199,5.935,2014,North Carolina,Cleveland County
Bluff Point Wind Facility,USA0061303,119.7,40.319,-84.9769,Wind,2018.0,Bluff Point Wind  LLC,0.0,0.0,0.0,0.0,41.606,2018,Indiana,Jay County
Hewlett-Packard (HP) - Andover  MA,USA0060099,1.7,42.6247,-71.1829,Solar,2017.0,Tesla Inc.,0.0,0.0,0.0,0.0,0.7859999999999999,2017,Massachusetts,Middlesex County
Stewarts Bridge,USA0002614,38.5,43.2978,-73.8853,Hydro,1955.961039,Erie Boulevard Hydropower LP,111.654,133.254,103.311,100.14200000000001,159.121,1955,New York,Saratoga County
301 Chestnut Solar NG,USA0061518,4.3,42.0552,-72.5218,Solar,2017.0,301 Chestnut Solar NG  LLC,0.0,0.0,0.0,0.0,1.847,2017,Massachusetts,Hampden County
ADS Renewable Energy-Wolf Creek LLC,USA0060184,2.8,32.7755,-83.4348,Waste,2011.0,ADS Renewable Energy- Wolf Creek  LLC,0.0,0.0,20.158,17.964000000000002,18.118,2011,Georgia,Twiggs County
Solano County Cogen Plant,USA0050985,2.8,38.2494,-122.0394,Gas,1997.0,Solano County,9.027000000000001,9.594,0.0,9.942,8.082,1997,California,Solano County
Waterbury 22,USA0006520,5.5,44.3813,-72.7677,Hydro,1953.0,Green Mountain Power Corp,22.511999999999997,17.498,16.215999999999998,13.783,14.448,1953,Vermont,Washington County
Hat Creek 1,USA0000243,10.0,40.9293,-121.5445,Hydro,1921.0,Pacific Gas & Electric Co.,19.585,20.956,22.156,25.538,34.504,1921,California,Shasta County
Hodenpyl,USA0001708,17.0,44.3629,-85.82,Hydro,1925.0,Consumers Energy Co,50.256,55.117,47.846000000000004,50.016999999999996,53.376000000000005,1925,Michigan,Grand Traverse County
IND Solar Farm (Phase IIA),USA0059424,7.5,39.6947,-86.3217,Solar,2015.0,Indy Airport Solar Project II  LLC,0.0,0.0,14.043,14.651,13.747,2015,Indiana,Hendricks County
Western Sugar Coop - Torrington,USA0057967,2.0,42.0469,-104.1863,Gas,1978.0,Western Sugar Cooperative,5.311,5.595,5.593999999999999,6.893789999999999,8.47974,1978,Wyoming,Goshen County
Cushman 2,USA0003915,84.6,47.3698,-123.1603,Hydro,1941.510638,City of Tacoma - (WA),141.2,225.192,163.813,320.874,229.71900000000002,1941,Washington,Mason County
NRG DG Tufts Science LLC,USA0061633,1.0,42.2376,-71.6861,Solar,2017.0,NRG DG Tufts Science LLC,0.0,0.0,0.0,0.0,0.615,2017,Massachusetts,Worcester County
Grand Rapids,USA0001787,7.5,45.3547,-87.6494,Hydro,1931.266667,Wisconsin Public Service Corp,30.371,32.827,36.53,18.229,41.25,1931,Michigan,Menominee County
High Acres Gas Recovery,USA0050568,9.6,43.0817,-77.3817,Waste,2002.3333329999998,WM Renewable Energy LLC,80.314,78.275,72.014,79.138,68.204,2002,New York,Monroe County
Ameresco Janesville,USA0056427,3.0,42.7083,-89.0208,Waste,2004.0,AMERESCO Janesville LLC,13.508,13.924000000000001,11.474,11.214,11.079,2004,Wisconsin,Rock County
Chace Mill Winooski One,USA0054355,7.5,44.49,-73.1875,Hydro,1993.0,City of Burlington Electric - (VT),32.233000000000004,6.207999999999999,26.825,25.359,31.875,1993,Vermont,Chittenden County
Scotland Solar RES,USA0059982,1.1,38.9099,-86.9473,Solar,2015.0,Hoosier Energy R E C  Inc,0.0,0.0,0.14300000000000002,1.09,1.882,2015,Indiana,Daviess County
Correctional Solar LLC,USA0060915,20.0,37.4715,-76.8569,Solar,2018.0,Dominion Renewable Energy,0.0,0.0,0.0,0.0,1.7790000000000001,2018,Virginia,King William County
Lemoore 1,USA0060142,1.5,36.2579,-119.7981,Solar,2016.0,Lemoore PV1  LLC,0.0,0.0,0.0,2.931,3.708,2016,California,Kings County
Jones Fork,USA0000534,10.0,38.8503,-120.3819,Hydro,1985.0,Sacramento Municipal Util Dist,11.974,10.648,3.2,22.638,40.59,1985,California,El Dorado County
Archer Daniels Midland Columbus,USA0057046,71.4,41.4164,-97.2863,Coal,2010.0,Archer Daniels Midland Co,0.0,0.0,0.0,0.0,303.324004,2010,Nebraska,Platte County
BJ's Wholesale Club Inc Dist Center,USA0060227,1.4,40.0985,-74.8259,Solar,2016.0,Tesla Inc.,0.0,0.0,0.0,0.299,2.299,2016,Pennsylvania,Bucks County
Port Westward Unit 2,USA0058266,225.6,46.1789,-123.1719,Gas,2015.0,Portland General Electric Co,0.0,0.0,344.871,146.365,164.44,2015,Oregon,Columbia County
Westrock Hodge (LA),USA0050810,66.4,32.2752,-92.7277,Biomass,1968.475904,Westrock (LA),446.60481,417.80348,452.74785,495.16140599999994,507.093137,1968,Louisiana,Jackson Parish
LSP-Whitewater LP,USA0055011,283.5,42.8555,-88.7299,Gas,1997.0,Whitewater Operating Services LLC,690.897004,705.454001,622.374007,873.0360019999999,645.798448,1997,Wisconsin,Walworth County
DeWind Frisco,USA0057517,20.0,36.4985,-101.6053,Wind,2012.0,DeWind Co.,50.20399999999999,50.317,34.546,28.858,13.302999999999999,2012,Oklahoma,Texas County
Beebee Island Hydro Plant,USA0010531,9.0,43.9767,-75.9072,Hydro,1931.0,Erie Boulevard Hydropower LP,47.713,43.841,42.199,41.902,52.082,1931,New York,Jefferson County
Ingleside Cogeneration,USA0055313,517.0,27.8828,-97.2428,Gas,1999.0,Ingleside Cogeneration LP,3034.083999,3051.751002,2962.298002,3007.849999,2552.535998,1999,Texas,San Patricio County
Noble Clinton Windpark LLC,USA0056618,100.5,44.8914,-74.0061,Wind,2008.0,Noble Wind Operations LLC,176.28400000000002,186.202,174.93099999999998,175.11700000000002,171.18400000000003,2008,Quebec,Monteregie
Southside Water Reclamation Plant,USA0010339,6.6,35.0161,-106.6697,Gas,1997.0,Albuquerque City of,32.31452,34.708659999999995,32.14694,36.51186,34.59596,1997,New Mexico,Bernalillo County
NIH Cogeneration Facility,USA0056668,22.0,39.0,-77.0939,Gas,2004.0,Power Choice/Pepco Energy Serv,175.773,148.774,144.546,135.72899999999998,175.57299999999998,2004,Maryland,Montgomery County
Siphon Drop Power Plant,USA0057364,4.4,32.7792,-114.6344,Hydro,1987.5,Yuma County Water User's Association,14.123,15.182,16.172,17.242,14.017000000000001,1987,Arizona,Yuma County
San Fernando,USA0000403,5.6,34.3128,-118.4928,Hydro,1922.0,Los Angeles Department of Water & Power,0.648,-0.027999999999999997,1.24,0.682,21.678,1922,California,Los Angeles County
Muscatine Plant #1,USA0001167,293.5,41.3917,-91.0569,Coal,1978.335605,Board of Water Electric & Communications,1067.634993,958.6000039999999,871.537005,874.754998,797.476999,1978,Iowa,Muscatine County
Hackberry Wind Farm,USA0056823,165.6,32.7683,-99.4228,Wind,2009.0,Hackberry Wind LLC,482.147,514.455,441.309,459.455,436.644,2009,Texas,Shackelford County
Melton Hill,USA0003408,72.0,35.8853,-84.3003,Hydro,1964.0,Tennessee Valley Authority,211.37099999999998,149.741,151.872,112.664,66.92,1964,Tennessee,Loudon County
West Point Municipal,USA0002313,8.5,41.8449,-96.7134,Gas,1965.141176,City of West Point - (NE),0.025,0.055999999999999994,0.035,0.03,0.046,1965,Nebraska,Cuming County
Placid 12,USA0001737,13.5,42.7106,-83.4569,Oil,1970.2,DTE Electric Company,-0.038,0.17300000000000001,-0.31,0.17600000000000002,-0.147,1970,Michigan,Oakland County
SR Platte Solar Farm,USA0061462,16.0,40.1817,-104.6921,Solar,2017.0,SR Platte,0.0,0.0,0.0,0.0,2.5780000000000003,2017,Colorado,Weld County
NextEra-Blackwell Wind  LLC,USA0058209,59.8,36.8467,-97.4175,Wind,2013.0,Blackwell Wind  LLC,234.132,255.013,228.481,238.018,240.893,2013,Oklahoma,Kay County
Marina Landfill Gas,USA0010748,4.9,36.7131,-121.7686,Waste,2010.0612239999998,Monterey Regional Waste Mgmt,32.051,27.922159999999998,24.198,19.075,13.555,2010,California,Monterey County
Deer Park,USA0058786,2.5,40.7608,-73.1939,Solar,2013.0,CD US Solar MT1 LLC,3.3471900000000003,3.589,3.6639999999999997,3.688,3.3930000000000002,2013,New York,Suffolk County
Pearl Solar,USA0060682,50.0,30.9878,-102.2683,Solar,2017.0,BHE Renewables  LLC,0.0,0.0,0.0,0.0,33.277,2017,Texas,Upton County
Fort Hill 1  2  3 & 4,USA0057599,10.4,41.4711,-72.1022,Oil,2010.0,Connecticut Mun Elec Engy Coop,1.1420000000000001,1.421,1.214,1.016,0.92,2010,Connecticut,New London County
Parr GT,USA0003291,83.8,34.2642,-81.3308,Gas,1970.5322199999998,South Carolina Electric&Gas Company,3.5610000000000004,5.303,2.311,7.332000000000001,3.3089999999999997,1970,South Carolina,Lexington County
